ip,status,data_tf
54.36.149.41,200,30577
31.56.96.51,200,5667
31.56.96.51,200,5379
40.77.167.129,200,1696
91.99.72.15,200,41483
40.77.167.129,200,2654
40.77.167.129,200,3688
40.77.167.129,200,14776
66.249.66.194,200,34277
40.77.167.129,200,1695
207.46.13.136,200,39677
40.77.167.129,200,9831
178.253.33.51,200,20406
40.77.167.129,200,1796
91.99.72.15,200,41725
40.77.167.129,200,2739
207.46.13.136,404,33617
40.77.167.129,200,2788
40.77.167.129,200,3481
66.249.66.194,200,19451
91.99.72.15,200,40250
178.253.33.51,200,4120
66.249.66.91,200,39660
31.56.96.51,200,7171
